epoch,train_loss,train_accuracy,val_loss,val_accuracy,phase
1,0.949313,0.724636,0.565082,0.885837,1
2,0.518357,0.829324,0.556177,0.88938,1
3,0.479346,0.84384,0.539156,0.900468,1
4,0.447123,0.854718,0.570473,0.905301,1
5,0.430594,0.862924,0.63094,0.908604,1
6,0.414265,0.867608,0.625219,0.907576,1
7,0.326987,0.889038,0.583089,0.922973,1
8,0.29451,0.8998,0.582119,0.92516,1
9,0.276357,0.904194,0.587044,0.9268,1
10,0.247098,0.911695,0.564036,0.935154,1
11,0.233607,0.915689,0.536097,0.934411,1
12,0.224466,0.918398,0.543143,0.937495,1
13,0.217666,0.921114,0.54326,0.935351,1
14,0.213325,0.922501,0.530607,0.938697,1
15,0.209047,0.923351,0.526777,0.939747,1
16,0.203402,0.925667,0.538235,0.941781,1
17,0.206555,0.924483,0.524111,0.941431,1
18,0.19641,0.927592,0.547985,0.939638,1
19,0.196117,0.927149,0.529415,0.941606,1
20,0.195555,0.928151,0.529141,0.942219,1
21,0.910765,0.758375,0.570398,0.927937,2
22,0.434058,0.860187,0.55906,0.93966,2
23,0.322304,0.890977,0.578113,0.945324,2
24,0.267104,0.907643,0.59556,0.949239,2
25,0.237242,0.917396,0.591972,0.949501,2
26,0.21918,0.920809,0.606059,0.949961,2
27,0.204379,0.925057,0.604074,0.950814,2
28,0.192398,0.928746,0.607966,0.950835,2
29,0.195289,0.928935,0.605078,0.951338,2
30,0.189007,0.930293,0.605802,0.951513,2
31,0.19116,0.929734,0.608014,0.951732,2
32,0.186399,0.931419,0.612691,0.951973,2
33,0.184395,0.932196,0.61225,0.951667,2
34,0.185815,0.931477,0.611527,0.951732,2
35,0.182951,0.933024,0.611861,0.951404,2
