epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.949313,0.724636,0.565082,0.885837
2,0.518357,0.829324,0.556177,0.88938
3,0.479346,0.84384,0.539156,0.900468
4,0.447123,0.854718,0.570473,0.905301
5,0.430594,0.862924,0.63094,0.908604
6,0.414265,0.867608,0.625219,0.907576
7,0.326987,0.889038,0.583089,0.922973
8,0.29451,0.8998,0.582119,0.92516
9,0.276357,0.904194,0.587044,0.9268
10,0.247098,0.911695,0.564036,0.935154
11,0.233607,0.915689,0.536097,0.934411
12,0.224466,0.918398,0.543143,0.937495
13,0.217666,0.921114,0.54326,0.935351
14,0.213325,0.922501,0.530607,0.938697
15,0.209047,0.923351,0.526777,0.939747
16,0.203402,0.925667,0.538235,0.941781
17,0.206555,0.924483,0.524111,0.941431
18,0.19641,0.927592,0.547985,0.939638
19,0.196117,0.927149,0.529415,0.941606
20,0.195555,0.928151,0.529141,0.942219
